"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.10242369697731e-09,0.515257700664618,0.427,0.252,3.42232529393966e-05,"1","4930523C07Rik"
2.44325804371745e-09,0.364731244072297,0.995,0.971,3.97713544356327e-05,"1","Mif"
2.44893754448807e-09,0.487548797969893,0.536,0.359,3.98638053491768e-05,"1","Ndrg2"
3.27104831414425e-09,0.368611298487875,0.307,0.139,5.32461244576401e-05,"1","Snca"
3.30259085675608e-09,0.349834091457247,0.292,0.128,5.37595739662755e-05,"1","Kcnh1"
3.50464572204029e-09,0.372263272696563,0.844,0.599,5.70486230633718e-05,"1","S100a16"
4.82638560541792e-09,0.375747738804038,0.927,0.83,7.85639048849929e-05,"1","Aplp2"
5.21203402850365e-09,0.425656502903589,0.839,0.677,8.48414899159823e-05,"1","Wls"
6.84329762465434e-09,0.392132153093018,0.823,0.668,0.000111395198734123,"1","Selenop"
7.01568236042203e-09,0.305439972098793,0.625,0.388,0.00011420127746295,"1","Fxyd3"
